,0
0,-0.59999996
1,-0.68
2,-0.75999993
3,-0.5199999
4,0.20000005
5,0.67999995
6,-0.19999993
7,0.20000005
8,0.6
9,0.20000005
10,0.20000005
11,-0.59999996
12,-0.5199999
13,-0.68
14,-0.79999995
15,-0.5199999
16,1.0000001
17,0.84000003
18,0.62360656
19,0.4000001
20,0.32000017
21,0.20000005
22,0.6
23,-0.5199999
24,-0.68
25,-0.71999997
26,-0.59999996
27,-0.68
28,0.32000017
29,0.4000001
30,0.49836063
31,0.6
32,0.20000005
33,0.20000005
34,0.32000017
35,-0.68
36,-0.71999997
37,-0.79999995
38,-1.0
39,-0.71999997
40,0.4000001
41,0.6
42,0.46229517
43,0.32000017
44,0.20000005
45,0.6
46,0.32000017
47,-0.71999997
48,-1.0
49,-0.59999996
50,-1.0
51,-1.0
52,0.6
53,0.32000017
54,0.32000017
55,0.32000017
56,0.6
57,0.4000001
58,0.20000005
59,-1.0
60,-1.0
61,-1.0
62,-1.0
63,-1.0
64,0.32000017
65,0.32000017
66,0.2609837
67,0.20000005
68,0.6
69,0.6
70,0.20000005
71,-1.0
72,-1.0
73,-1.0
74,-1.0
75,-1.0
76,0.32000017
77,0.20000005
78,-0.19999993
79,0.20000005
80,0.6
81,0.32000017
82,0.20000005
83,-1.0
84,-1.0
85,-1.0
86,-0.79999995
87,-1.0
88,0.20000005
89,0.20000005
90,-0.19999993
91,0.6
92,0.64
93,0.32000017
94,0.20000005
95,-1.0
96,-1.0
97,-1.0
98,-0.59999996
99,-1.0
100,0.20000005
101,0.6
102,-0.19999993
103,0.4000001
104,0.64
105,0.20000005
106,0.24000001
107,-1.0
108,-0.56
109,-1.0
110,-1.0
111,-0.56
112,0.20000005
113,0.6
114,-0.15999997
115,0.6
116,0.64
117,0.20000005
118,0.32000017
119,-0.56
120,-0.56
121,-1.0
122,-1.0
123,-0.56
124,0.20000005
125,0.6
126,-0.07999992
127,0.32000017
128,0.64
129,0.6
130,0.32000017
131,-0.56
132,-0.56
133,-0.68
134,-1.0
135,-0.56
136,0.72000015
137,0.64
138,-0.07999992
139,0.32000017
140,0.64
141,0.20000005
142,0.20000005
143,-0.56
144,-0.59999996
145,-0.71999997
146,-1.0
147,-0.59999996
148,0.20000005
149,0.64
150,-0.19999993
151,0.20000005
152,0.6
153,0.32000017
154,0.20000005
155,-0.59999996
156,-0.64
157,-0.79999995
158,-1.0
159,-0.19999993
160,0.32000017
161,0.64
162,-0.15999997
163,0.20000005
164,0.6
165,0.32000017
166,0.6
167,-0.64
168,-0.56
169,-0.59999996
170,-1.0
171,-0.31999993
172,0.24000001
173,0.64
174,-0.07999992
175,0.6
176,0.6
177,0.20000005
178,0.4000001
179,-0.56
180,-0.56
181,-1.0
182,-1.0
183,-0.36
184,0.44000006
185,0.64
186,-0.23999989
187,0.4000001
188,0.6
189,0.20000005
190,0.6
191,-0.56
192,-0.59999996
193,-1.0
194,-1.0
195,-0.47999996
196,0.6
197,0.64
198,-0.59999996
199,0.6
200,0.6
201,0.6
202,0.32000017
203,-0.59999996
204,-0.64
205,-1.0
206,-0.88
207,-0.59999996
208,0.20000005
209,0.64
210,-0.27999997
211,0.32000017
212,0.72000015
213,0.4000001
214,0.32000017
215,-0.64
216,-0.56
217,-1.0
218,-0.75999993
219,-0.59999996
220,0.72000015
221,0.64
222,-0.19999993
223,0.32000017
224,0.72000015
225,0.6
226,0.20000005
227,-0.59999996
228,-0.56
229,-1.0
230,-0.84
231,-0.59999996
232,0.20000005
233,0.6
234,-0.19999993
235,0.20000005
236,0.6
237,0.32000017
238,0.20000005
239,-0.5199999
240,-0.59999996
241,-1.0
242,-0.9599999
243,-0.3095082
244,0.32000017
245,0.6
246,-0.19999993
247,0.20000005
248,0.6
249,0.32000017
250,0.6
251,-0.68
252,-0.64
253,-1.0
254,-0.9599999
255,-0.59999996
256,0.20000005
257,0.6
258,-0.07999992
259,0.6
260,0.6
261,0.20000005
262,0.20000005
263,-0.71999997
264,-0.5199999
265,-1.0
266,-0.9599999
267,-0.47999996
268,0.20000005
269,0.6
270,0.0
271,0.20000005
272,0.6
273,0.20000005
274,0.32000017
275,-0.59999996
276,-0.68
277,-1.0
278,-0.9599999
279,-0.37049174
280,0.20000005
281,0.6
282,-0.03999996
283,0.32000017
284,0.6
285,0.20000005
286,0.6
287,-0.59999996
288,-0.71999997
289,-1.0
290,-0.9599999
291,-0.37049174
292,0.20000005
293,0.72000015
294,0.0
295,0.20000005
296,0.72000015
297,0.20000005
298,0.32000017
299,-0.59999996
300,-1.0
301,-1.0
302,-0.79999995
303,-0.29180324
304,0.20000005
305,0.72000015
306,-0.19999993
307,0.20000005
308,0.72000015
309,0.24000001
310,0.32000017
311,-0.59999996
