Cantidad de precipitacion,,,BASES ACTUALIZADAS(91-2020),,,,,,,,,
Años,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
1991,2,1.8,1.6,2.2,4,5.2,3,4,5,4,4,2
1992,2.2,1.8,1.5,2.2,6,5.6,,4.5,4.3,4,5,2.2
1993,1.8,1.7,2,1.8,4.3,4.5,,5,4,4,4.3,1.8
1994,1.7,1.5,1,1.7,4.5,5,,4.3,4,5,4.3,1.7
1995,1,2,1,1,5,4.3,,4.3,5,4.5,4,1
1996,1,1,1,1,4.3,4.3,,4,5,5,4,1
1997,1,1,1,1,4.3,4,3,4,5,4.3,4,1
1998,1,1,1.5,1,4,4,3,5,5.1,4.3,4,1
1999,1,1,2,1,4,5,3,4.5,5.1,4,4.1,1
2000,2.1,1,1,2.1,4,5,3.1,5,5.1,4,4.3,2.1
2001,2.1,1,1,2.1,4,5,3.3,4.3,5.1,5,4.3,2.1
2002,2.1,1.8,1,2.1,5.3,5.1,3.3,4.3,5.1,4,4,2.1
2003,2,1.7,1,2,4,5.1,3,4,5,4.3,4,2
2004,1.9,1.5,1,3,4.3,5.1,3.1,4,5,4.3,5,1.9
2005,2.1,2,1,2.7,4.1,5.1,3.3,5,5,4,4.5,2.1
2006,2.1,1,1,2.6,4.6,5.1,2.9,4.5,5,4,5,2.1
2007,2,1,1,2.3,5,5.1,2,5,5,5,4.3,2
2008,1.9,1,1.3,2,4,5.1,2.8,4.3,5.3,4.5,4.3,1.9
2009,2.1,1,1.6,2,5.3,5.1,3,4.3,5.3,5,4,2
2010,2.1,1,1.4,2,4,5,3,4,5,4.3,4,2.2
2011,2,1,1.1,,4.3,5,3,4,5,4.3,5,1.8
2012,1.9,1,1.1,2,4,5,3.3,5,5,4,4,1.7
2013,2.2,1,1.1,2.3,4,5,3.5,4,5,4,4.3,2
2014,1.8,1,1.1,,4,5,3.4,4.3,5,4,5,2
2015,1.7,1,1.1,,4,5.3,3.5,4,5.3,4,4.3,2
2016,1,1,1.5,,4,5.3,3,4,5.3,4.1,4.3,2
2017,1,1,2,,4,6.1,3,4,6.1,4.3,4,1
2018,2,1.8,1,1.3,4.3,5,3,4,5,4.3,4,2.1
2019,2,1.7,1,2.1,4.1,5.1,3,4,5,4,4,2.1
2020,2,1,1.3,2.2,4,5.7,3,4,5,4,4,2
